Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
SAUCIE,Python,"10.1038/s41592-019-0576-7, 10.1101/237065","2019-10-07, NA",200,https://github.com/KrishnaswamyLab/SAUCIE,"SAUCIE (Sparse Autoencoder for Unsupervised Clustering, Imputation, and Embedding), simultaneously performs several key tasks for single-cell data analysis including 1) clustering, 2) batch correction, 3) visualization, and 4) denoising/imputation.",MIT,"Clustering, Dimensionality Reduction, Imputation, Integration, Normalisation, Visualisation"
saVAE,Python,10.21203/rs.3.rs-2717344/v1,NA,0,https://github.com/GwangWooKim/saVAE,"A similarity-assisted variational autoencoder (saVAE) is a new method that adopts similarity information in the framework of the VAE",'-,"Dimensionality Reduction"
SAVER,R,"10.1038/s41592-018-0033-z, 10.1101/138677","2018-06-25, NA",504,https://github.com/mohuangx/SAVER,"SAVER (Single-cell Analysis Via Expression Recovery) implements a regularized regression prediction and empirical Bayes method to recover the true gene expression profile in noisy and sparse single-cell RNA-seq data.",GPL-2.0,Imputation
SAVER-X,R,"10.1038/s41592-019-0537-1, 10.1101/457879, 10.1145/3311790.3399617","2019-08-30, NA, 2020-07-21",134,https://github.com/jingshuw/SAVERX,"R package for transfer learning of scRNA-seq denoising.",GPL-2.0-or-later,"Dimensionality Reduction, Imputation"
SBDN,R,arxiv/1802.08114,NA,0,https://www.ucl.ac.uk/statistics/people/thomas-bartlett,"Implements the sparse Bayesian dynamic network model",CC-BY-4.0,"Gene Networks"
sc-compReg,R/C++,10.1038/s41467-021-25089-2,2021-08-06,11,https://github.com/SUwonglab/sc-compReg,"scCompReg (Single-Cell Comparative Regulatory analysis) is an R package that provides coupled clustering and joint embedding of scRNA-seq and scATAC-seq on one sample, and performs comparative gene regulatory analysis between two conditions",GPL-3.0,"Dimensionality Reduction, Gene Networks, Integration, Visualisation"
sc-jnmf,Python,"10.1101/2020.09.30.319921, 10.7717/peerj.12087","NA, 2021-08-27",5,https://github.com/agis09/sc-jnmf,"Single-cell clustering method using multiple gene expression profiles",BSD-3-Clause,Clustering
sc-Libra,R/Python,10.1101/2021.01.27.428400,NA,3,https://github.com/TranslationalBioinformaticsUnit/LIBRA,"LIBRA is a deep learning model that is designed for Single-cell multi-omics integration and prediction",GPL-3.0,Integration
sc-REnF,R,"10.1093/bib/bbab517, 10.1101/2020.10.10.334573, 10.21203/rs.3.rs-355014/v1","2022-01-17, NA, NA",11,https://github.com/Snehalikalall/sc-REnF,"An Entropy Based Feature Selection- Application on Single cell RNA Sequence Data",'-,"Gene Filtering"
sc2marker,R,10.1186/s12859-022-04817-5,2022-07-12,3,https://github.com/CostaLab/sc2marker,"sc2marker is a toolkit for identification of cell specific markers for clusters of cells in a single cell RNA sequencing data set",MIT,"Marker Genes, Normalisation, Visualisation"
SC2P,R,10.1093/bioinformatics/bty329,2018-04-24,26,https://github.com/haowulab/SC2P,"SC2P provides functionalities for testing DE in two phases: (1) phase transition (difference in the probabilities of being expressed); and (2) magnitude tuning (difference in the levels of expression once the gene is on).",GPL-1.0,"Differential Expression, Visualisation"
SC2Spa,Python,,,'-,https://github.com/linbuliao/SC2Spa,"SC2Spa: a deep learning based approach to map transcriptome to spatial origins at cellular resolution",BSD-3-Clause,"Expression Patterns, Integration, Visualisation"
SC3,R,"10.1038/nmeth.4236, 10.1101/036558","2017-03-27, NA",1078,https://github.com/hemberg-lab/sc3,"SC3 is an interactive tool for the unsupervised clustering of cells from single cell RNA-Seq experiments.",GPL-3.0,"Clustering, Interactive"
SC3s,Python,"10.1101/2021.05.20.445027, 10.1186/s12859-022-05085-z","NA, 2022-12-12",3,https://github.com/hemberg-lab/sc3s,"Efficient scaling of single cell consensus clustering to millions of cells",GPL-3.0,Clustering
SCA,Python,10.1101/2021.01.19.427303,NA,1,https://github.com/bendemeo/shannonca,"Shannon Components Analysis (formerly called scalpel) is a dimensionality reduction technique for single-cell data which leverages mathematical information theory to identify biologically informative axes of variation in single-cell transcriptomic data",MIT,"Dimensionality Reduction, Rare Cells"
scAAnet,Python,"10.1101/2021.09.17.460824, 10.1371/journal.pcbi.1010025","NA, 2022-04-01",4,https://github.com/AprilYuge/scAAnet_latest,"Decompose an expression profile into a usage matrix and a GEP/archetype matrix",MIT,"Clustering, Marker Genes, Visualisation"
scAce,Python,10.1093/bioinformatics/btad546,2023-09-06,0,https://github.com/sldyns/scAce,"scAce is consisted of three major steps, a pre-training step based on a variational autoencoder, a cluster initialization step to obtain initial cluster labels, and an adaptive cluster merging step to iteratively update cluster labels and cell embeddings",MIT,"Clustering, Dimensionality Reduction"
scACE,R,10.1214/19-STS714,2020-02-01,11,https://github.com/cuhklinlab/scACE,"Model-based approach to the joint analysis of single-cell data on chromatin accessibility and gene expression",GPL-2.0,"Clustering, Integration, Simulation"
scAdapt,Python,"10.1093/bib/bbab281, 10.1101/2021.01.18.427083","2021-07-23, NA",12,https://github.com/zhoux85/scAdapt,"scAdapt is a virtual adversarial domain adaptation network to transfer single cell labels between datasets with batch effects",MIT,"Classification, Dimensionality Reduction"
scAEGAN,Python,"10.1101/2022.04.19.488745, 10.1371/journal.pone.0281315","NA, 2023-02-03",4,https://github.com/sumeer1/scAEGAN,"scAEGAN is a python based deep learning model that is designed for single-cell-omics and multi-omics integration",GPL-3.0,"Dimensionality Reduction, Integration"
scAEspy,Python,"10.1101/727867, 10.1186/s12859-021-04150-3","NA, 2021-06-08",12,https://gitlab.com/cvejic-group/scaespy,"scAEspy: a unifying tool based on autoencoders for the analysis of single-cell RNA sequencing data",GPL-3.0,"Dimensionality Reduction, Integration"
SCAFE,Perl/R,"10.1093/bioinformatics/btac644, 10.1101/2021.04.04.438388","2022-09-29, NA",5,https://github.com/chung-lab/scafe,"SCAFE (Single Cell Analysis of Five-prime Ends) provides an end-to-end solution for processing of single cell 5’ end RNA-seq data",MIT,"Alternative Splicing, Quantification"
scaffold,R,"10.1093/nar/gkab1071, 10.1101/2020.10.05.326553","2021-11-24, NA",4,https://github.com/rhondabacher/scaffold,"Scaffold is an R package for generating scRNA-seq data by statistically modeling each step of the experimental data generation process",GPL-2.0-or-later,"Simulation, Visualisation"
scAI,R/MATLAB,10.1186/s13059-020-1932-8,2020-02-03,86,https://github.com/sqjin/scAI,"scAI: a single cell Aggregation and Integration method for analyzing single cell multi-omics data",GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Marker Genes, Visualisation"
scAIDE,Python/R,10.1093/nargab/lqaa082,2020-10-09,16,https://github.com/tinglabs/scAIDE,"scAIDE is an unsupervised clustering framework for single-cell RNA-seq data",'-,"Clustering, Marker Genes, Visualisation"
scAL,Python,10.1038/s41374-021-00639-w,2021-07-09,4,https://github.com/xianglin226/scAL,"An active learning approach for clustering single-cell RNA-seq data",Apache-2.0,Clustering
SCALE,R,"10.1101/109629, 10.1186/s13059-017-1200-8","NA, 2017-04-26",79,https://github.com/yuchaojiang/SCALE,"Allele-Specific Expression by Single-Cell RNA Sequencing",GPL-3.0,"Allele Specific"
SCALEX,Python,"10.1038/s41467-022-33758-z, 10.1101/2021.04.06.438536","2022-10-17, NA",16,https://github.com/jsxlei/SCALEX,"SCALEX: Construction of continuously expandable single-cell atlases through integration of heterogeneous datasets in a generalized cell-embedding space",MIT,"Classification, Dimensionality Reduction, Integration, Visualisation"
scAlign,Python/R,"10.1101/504944, 10.1186/s13059-019-1766-4","NA, 2019-08-14",71,https://github.com/quon-titative-biology/scAlign,"A deep learning method for aligning and integrating scRNA-seq data collected across multiple conditions into a common, low-dimensional cell state space for downstream analysis",GPL-3.0,"Dimensionality Reduction, Integration, Rare Cells"
scAllele,Python,"10.1101/2022.03.29.486330, 10.1126/sciadv.abn6398","NA, 2022-09-02",2,https://github.com/gxiaolab/scAllele,"scAllele is a versatile tool to detect and analyze nucleotide variants in scRNA-seq",MIT,"Alternative Splicing, Variants"
scAlleleCount,Python/R,,,'-,https://github.com/barkasn/scAlleleCount,"Calculate allele-specific count tables",'-,"Allele Specific"
Scallop2,C++,"10.1038/s43588-022-00216-1, 10.1101/2021.09.03.458862","2022-03-28, NA",7,https://github.com/Shao-Group/scallop2,"Scallop2 is a reference-based transcript assembler specifically optimized for paired-/multiple-end RNA-seq data",BSD-3-Clause,Assembly
scAMACE,R,"10.1093/bioinformatics/btab426, 10.1101/2021.03.29.437485","2021-06-04, NA",6,https://github.com/cuhklinlab/scAMACE,"scAMACE (integrative Analysis of single-cell Methylation, chromatin ACcessibility, and gene Expression)",LGPL-3.0,"Clustering, Integration"
scAMACE_py,Python,"10.1093/bioinformatics/btab426, 10.1101/2021.03.29.437485","2021-06-04, NA",6,https://github.com/cuhklinlab/scAMACE_py,"Python implementation (both CPU and GPU version) to a model-based approach to the joint analysis of single-cell data on chromatin accessibility, gene expression and methylation",MIT,"Clustering, Integration"
scAmpi,Snakemake,"10.1101/2021.03.25.437054, 10.1371/journal.pcbi.1010097","NA, 2022-06-03",8,https://github.com/ETH-NEXUS/scAmpi_single_cell_RNA,"scAmpi includes general scRNA processing steps, such as mapping, QC, normalisation, unsupervised clustering, cell type classification, and DE analysis, as well as search for disease relevant target genes",GPL-3.0,"Alignment, Classification, Clustering, Differential Expression, Normalisation, Quality Control, Quantification"
scAN10,Nextflow/R/Shell,10.1101/2022.11.07.515546,NA,0,https://gitbio.ens-lyon.fr/LBMC/sbdm/scan10,"A processing pipeline of 10X single cell RNAseq data",'-,"Alignment, Clustering, Dimensionality Reduction, Normalisation, Quality Control, Quantification, UMIs, Visualisation"
scanalysis,R,,,'-,https://github.com/keshav-motwani/scanalysis,"Multi-Sample Visualization and Immune Repertoire Analysis Utilities for Single-Cell Data",MIT,"Immune, Quality Control, Visualisation"
scAnCluster,Python,10.3390/genes11070792,2020-07-14,19,https://github.com/xuebaliang/scAnCluster,"A deep leanring based clustering and annotation algorithm for scRNASeq data",'-,"Classification, Clustering, Marker Genes"
scANNA,Python,10.1101/2023.05.29.542760,NA,0,https://github.com/SindiLab/scANNA,"scANNA, a novel interpretable DL model for scR-NAseq studies that leverages neural attention to learn gene associations",MIT,"Classification, Variable Genes"
scAnno,R,10.1093/bib/bbad179,2023-05-14,0,https://github.com/liuhong-jia/scAnno,"scAnno is an automated annotation tool for single-cell RNA sequencing datasets primarily based on the single cell cluster level",GPL-3.0,"Classification, Marker Genes, Variable Genes"
scAnnotatR,R,"10.1101/2020.12.22.424025, 10.1186/s12859-022-04574-5","NA, 2022-01-17",7,https://github.com/grisslab/scAnnotatR,"The scAnnotatR package automatically classifies cells in scRNA-seq datasets",MIT,"Classification, Marker Genes, Visualisation"
scanorama,Python,"10.1038/s41587-019-0113-3, 10.1101/371179","2019-05-06, NA",486,https://github.com/brianhie/scanorama,"Scanorama enables batch-correction and integration of heterogeneous scRNA-seq datasets",MIT,Integration
Scanpro,Python,10.1101/2023.08.14.553234,NA,0,https://github.com/loosolab/scanpro,"Scanpro is a modular tool for proportion analysis, seamlessly integrating into widely accepted frameworks in the python environment",MIT,Modality
Scanpy,Python,"10.1101/174029, 10.1101/208819, 10.1186/s13059-017-1382-0, 10.1186/s13059-019-1663-x","NA, NA, 2018-02-06, 2019-03-19",3960,https://github.com/theislab/scanpy,"Scanpy is a scalable toolkit for analyzing single-cell gene expression data.",BSD-3-Clause,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Normalisation, Ordering, Quality Control, Simulation, Variable Genes, Visualisation"
scAPA,R,10.1093/nar/gkz781,2019-09-10,64,https://github.com/ElkonLab/scAPA,"This is a package and a shell script for alternative polyadenylation (APA) analysis of 3' tag single-cell RNA-seq data.",BSD-3-Clause,"Alternative Splicing"
scAPAtrap,R,10.1093/bib/bbaa273,2020-11-03,21,https://github.com/BMILAB/scAPAtrap,"Identification and quantification of alternative polyadenylation sites from single-cell RNA-seq data",AGPL-3.0,"Alternative Splicing, Quantification"
SCAPE,Python,10.1093/nar/gkac167,2022-03-14,10,https://github.com/LuChenLab/SCAPE,"SCAPE is a tool for estimating alternative polyadenylation (APA) events from single-end or pair-end scRNA-seq data",MIT,"Alternative Splicing, Quantification"
SCAPTURE,Shell/Python/R,"10.1101/2021.03.17.435782, 10.1186/s13059-021-02437-5","NA, 2021-08-10",12,https://github.com/YangLab/SCAPTURE,"A deep learning-embedded pipeline that captures polyadenylation information from 3 prime tag-based RNA-seq of single cells",Custom,"Alternative Splicing, Quantification"
scAR,Python,10.1101/2022.01.14.476312,NA,3,https://github.com/CaibinSh/scAR,"scAR (single cell Ambient Remover) is a package for denoising multiple single cell omics data",MIT,"Dimensionality Reduction, Quantification"
scArches,Python,"10.1038/s41556-022-01072-x, 10.1038/s41587-021-01001-7, 10.1101/2020.07.16.205997, 10.1101/2022.02.05.479217, 10.1101/2022.11.28.517803","2023-02-02, 2021-08-30, NA, NA, NA",211,https://github.com/theislab/scarches,"scArches is a package to integrate newly produced single-cell datasets into integrated reference atlases",BSD-3-Clause,Integration
scarf,Python,"10.1038/s41467-022-32097-3, 10.1101/2021.05.02.441899","2022-08-08, NA",8,https://github.com/parashardhapola/scarf,"Scarf is a Python package to performs memory efficient analysis of single-cell genomics data",BSD-3-Clause,"Cell Cycle, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Imputation, Marker Genes, Normalisation, Ordering, Quality Control, Variable Genes, Visualisation"
scasa,R/Perl,10.1093/bioinformatics/btab807,2021-12-02,3,https://github.com/eudoraleer/scasa,"Scasa is a single cell transcript quantification tool tailored for single cell RNA-Sequencing data",GPL-3.0,"Alignment, Alternative Splicing, Quantification"
scASfind,R/C++,10.1101/2023.08.19.553947,NA,0,https://github.com/hemberg-lab/scASfind,"scASfind conducts rapid searching and returns feature-enriched cell types or cell type-specific splicing signatures, respectively",MIT,"Alternative Splicing, Marker Genes, Visualisation"
scASK,MATLAB,"10.1101/2020.06.07.138271, 10.1109/jbhi.2021.3050963, 10.1109/JBHI.2021.3050963","NA, 2021, 2021",2,https://github.com/liubo2358/scASKcmd,"scASK is a novel and robust ensemble framework that is especially suited for cell type classification based on scRNA-seq data",'-,"Classification, Dimensionality Reduction, Interactive"
Scater,R,"10.1093/bioinformatics/btw777, 10.1101/069633","2017-01-14, NA",975,https://github.com/Alanocallaghan/scater,"A collection of tools for various analyses of single-cell RNA-seq data with a focus on quality control and visualisation",GPL-3.0,"Dimensionality Reduction, Quality Control, Visualisation"
scATOMIC,R,"10.1038/s41467-023-37353-8, 10.1101/2022.06.14.496107","2023-03-23, NA",1,https://github.com/abelson-lab/scATOMIC,"Single Cell Annotation of TumOur Microenvironments In pan-Cancer settings",MIT,Classification
SCATrEx,Python,"10.1007/978-3-031-04749-7_36, 10.1101/2021.11.04.467244","2022, NA",1,https://github.com/cbg-ethz/SCATrEx,"Map single-cell transcriptomes to copy number evolutionary trees",GPL-3.0,"Clustering, Simulation, Visualisation"
SCATS,Python/Perl,"10.1101/738997, 10.1371/journal.pcbi.1007925","NA, 2020-06-05",16,https://github.com/huyustats/SCATS,"A statistical tool to detect differential alternative splicing events using single-cell RNA-seq",'-,"Alternative Splicing"
scatterHatch,R,"10.1101/2021.10.07.463279, 10.7554/elife.82128","NA, 2022-12-16",0,https://github.com/FertigLab/scatterHatch,"The goal of scatterHatch is to create scatter plots that visually distinguish groups of data using color and texture in sparse or dense datasets.",MIT,Visualisation
SCATTome,R,10.1038/leu.2015.361,2015-12-29,53,https://github.com/bvnlab/SCATTome,"SCATTome (Single Cell Analysis of Targeted Transcriptome) predicts a drug response per cell using qRT-PCR data.",GPL-3.0,Perturbations
scBASE,Python/Stan,"10.1038/s41467-019-13099-0, 10.1101/383224","2019-11-15, NA",15,https://github.com/churchill-lab/scBASE,"scBASE is a python implementation of three-component Beta-Binomial mixture model for accurate quantitation of allele-specific expression (ASE) from scRNA-Seq data.",MIT,"Allele Specific"
scBatch,R/C++,"10.1093/bioinformatics/btaa097, 10.1101/669739","2020-02-13, NA",23,https://github.com/tengfei-emory/scBatch,"Batch Effect Correction of RNA-seq Data through Sample Distance Matrix Adjustment",GPL-3.0-or-later,"Integration, Normalisation"
scbean,Python,"10.1093/bib/bbab400, 10.1093/bioinformatics/btad005, 10.1101/2021.04.06.438733","2021-09-28, 2023-01-09, NA",15,https://github.com/jhu99/scbean,"Scbean integrates a range of models for single-cell data analysis, including dimensionality reduction, remvoing batch effects, and transferring well-annotated cell type labels from scRNA-seq to scATAC-seq and spatial resoved transcriptomics",MIT,"Dimensionality Reduction, Integration, Quality Control, Visualisation"
scBERT,Python,"10.1038/s42256-022-00534-z, 10.1101/2021.12.05.471261","2022-09-26, NA",35,https://github.com/TencentAILabHealthcare/scBERT,"A Large-scale Pretrained Deep Langurage Model for Cell Type Annotation of Single-cell RNA-seq Data",'-,Classification
scBGEDA,Python/MATLAB,10.1093/bioinformatics/btad075,2023-02-03,1,https://github.com/wangyh082/scBGEDA,"A single-cell deep clustering model via a dual denoising autoencoder with bipartite graph ensemble clustering",'-,"Clustering, Dimensionality Reduction"
scBio,R,10.1038/s41592-019-0355-5,2019-03-18,84,,"scBio: Single Cell Genomics for Enhancing Cell Composition Inference from Bulk Genomics Data",GPL-2.0,Integration
scBonita,Python,"10.1038/s41540-022-00246-5, 10.1101/2022.03.07.22271522","2022-09-21, NA",1,https://github.com/Thakar-Lab/scBONITA,"scBonita: single-cell Boolean Omics Network Invariant Time Analysis",MIT,"Gene Networks"
scBT,R,"10.1093/nar/gkac019, 10.1101/2021.09.08.459475","2022-01-21, NA",7,https://github.com/satabdisaha1288/scBT,"This package implements a new Bayesian test for detecting differential gene expression over multiple dose groups in single cell gene expression studies",'-,"Differential Expression"
scBTF,Python,arxiv/2308.08060,NA,0,https://github.com/klarman-cell-observatory/scBTF,"Robust Bayesian Tensor Factorization with Zero-Inflated Poisson Model and Consensus Aggregation",MIT,"Dimensionality Reduction"
scBubbletree,R,10.1101/2023.03.09.531263,NA,0,https://github.com/snaketron/scBubbletree,"scBubbletree is a quantitative method for visual exploration of scRNA-seq data",GPL-3.0,Visualisation
SCC,R,"10.1186/s12859-020-03878-8, 10.21203/rs.2.22114/v1","2021-01-06, NA",10,https://github.com/nwpuzhengyan/SCC,"scRNA-seq complementation (SCC) can recover the gene expression of scRNA-seq data",'-,Imputation
scCAEs,Python,10.1093/bib/bbab321,2021-09-02,13,https://github.com/gushenweiz/scCAEs,"ScCAEs first learned the nonlinear mapping from original scRNA-seq to low-dimensional features through a convolutional autoencoder, and then iteratively completed cell clustering through the regularized soft Kmeans algorithm with KL divergence",'-,"Clustering, Dimensionality Reduction"
SCCAF,Python,"10.1038/s41592-020-0825-9, arxiv/2004.09847","2020-05-18, NA",71,https://github.com/SCCAF/sccaf,"Single Cell Clustering Assessment Framework (SCCAF) is a novel method for automated identification of putative cell types from single cell RNA-seq (scRNA-seq) data",MIT,"Clustering, Visualisation"
scCAN,R,10.1038/s41598-022-14218-6,2022-06-17,4,https://github.com/cran/scCAN,"scCAN is a R software package that can perform unsupervised clustering for single-cell RNA sequencing (scRNA-seq) data",LPL-1.0,Clustering
scCancer,R,"10.1093/bib/bbaa127, 10.1101/800490","2020-07-06, NA",26,https://github.com/wguo-research/scCancer,"The scCancer package focuses on processing and analyzing droplet-based scRNA-seq data for cancer research. Except basic data processing steps, this package takes several special considerations for cancer-specific features.",GPL-3.0,"Cell Cycle, Classification, Clustering, Differential Expression, Gene Networks, Quality Control, Stem Cells"
scCancer2,R,10.1101/2023.08.22.554137,NA,0,https://github.com/czythu/scCancer,"An updated our R toolkit, scCancer, based on massive single-cell transcriptome and spatial transcriptome data",MIT,"Cell Cycle, Clustering, Gene Networks, Integration, Stem Cells, Visualisation"
scCaps,Python,"10.1038/s42256-020-00244-4, 10.1101/570507","2020-11-02, NA",36,https://github.com/wanglf19/scCaps,"An interpretable deep-learning architecture of capsule networks for identifying cellular-type gene expression programs from single-cell RNA-seq data",'-,"Clustering, Dimensionality Reduction, Gene Networks"
scCapsNet-mask,Python,"10.1186/s12859-022-05098-8, 10.21203/rs.3.rs-1763879/v1","2022-12-12, NA",1,https://github.com/wanglf19/scCapsNet_mask,"scCapsNet-mask: an updated version of scCapsNet with extended applicability in functional analysis related to scRNA-seq data",'-,"Classification, Marker Genes, Visualisation"
scCATCH,R,10.1016/j.isci.2020.100882,2020-03,144,https://github.com/ZJUFanLab/scCATCH,"Automatic Annotation on Cell Types of Clusters from Single-Cell RNA Sequencing Data",GPL-3.0,"Classification, Marker Genes"
scCB2,R,"10.1101/832535, 10.1186/s13059-020-02054-8","NA, 2020-06-08",14,https://github.com/zijianni/scCB2,"CB2 is a cluster-based approach for distinguishing true cells from background barcodes in droplet-based single cell RNA-seq experiments",GPL-3.0,"Quality Control"
scCCESS,R,"10.1101/773903, 10.1186/s12859-019-3179-5","NA, 2019-12-24",30,https://github.com/gedcom/scCCESS,"single-cell Consensus Clusters of Encoded Subspaces",'-,"Clustering, Dimensionality Reduction"
scClassifR,R,10.1101/2020.12.22.424025,NA,1,https://github.com/grisslab/scClassifR,"The scClassifR package automatically classifies cells in scRNA-seq datasets",MIT,Classification
scClassify,R,"10.1101/776948, 10.15252/msb.20199389","NA, 2020-06-22",71,https://github.com/SydneyBioX/scClassify,"Single cell classification via cell-type hierarchies based on ensemble learning and sample size estimation.",GPL-3.0,"Classification, Visualisation"
scCLUE,R,10.1016/j.compbiolchem.2020.107283,2020-08,5,https://github.com/jeonglab/scCLUE,"single cell CLUstering through Ensemble feature selection and similarity measurements",'-,Clustering
scClustBench,R/C++,10.1093/bib/bby076,2018-08-22,84,https://github.com/taiyunkim/scClustBench,"Perform clustering on single-cell RNA-sequencing data with different similarity metrics on k-means and SIMLR clustering methods.",'-,"Clustering, Visualisation"
scclusteval,R,"10.1093/bioinformatics/btaa956, 10.1101/2020.05.26.116640","2020-11-09, NA",34,https://github.com/crazyhottommy/scclusteval,"The goal of scclusteval (Single Cell Cluster Evaluation) is to evaluate single cell clustering stability by boostrapping/subsampling cells and providing visualization methods for comparing clusters.",MIT,"Clustering, Visualisation"
scClustViz,R,10.12688/f1000research.16198.1,2018-09-21,20,https://github.com/BaderLab/scClustViz,"An interactive R Shiny tool for visualizing single-cell RNAseq clustering results from the Seurat R package or any other analysis pipeline.",MIT,"Interactive, Visualisation"
scCobra,Python,10.1101/2022.10.23.513389,NA,0,https://github.com/GlancerZ/scCobra,"Contrastive cell embedding learning with domain adaptation for single-cell data integration",MIT,"Dimensionality Reduction, Integration, Normalisation, Variable Genes"
scCODA,Python,"10.1038/s41467-021-27150-6, 10.1101/2020.12.14.422688","2021-11-25, NA",78,https://github.com/theislab/scCODA,"scCODA allows for identification of compositional changes in high-throughput sequencing count data, especially cell compositions from scRNA-seq",BSD-3-Clause,Modality
scCODE,R,"10.1093/bib/bbac180, 10.1101/2021.11.18.469072","2022-05-23, NA",7,https://github.com/XZouProjects/scCODE,"scCODE (Consensus Optimization of Differentially Expressed gene detection for single cell)",MIT,"Differential Expression, Visualisation"
sccomp,R/Stan,"10.1073/pnas.2203828120, 10.1101/2022.03.04.482758","2023-08-07, NA",2,https://github.com/stemangiola/sccomp,"Outlier-aware and count-based compositional analysis of single-cell data",GPL-3.0,Simulation
scConnect,Python,10.1093/bioinformatics/btab245,2021-05-11,14,https://github.com/JonETJakobsson/scConnect,"scConnect: Like Tinder but for single cells",MIT,"Gene Networks"
scConsensus,R,"10.1101/2020.04.22.056473, 10.1186/s12859-021-04028-4","NA, 2021-04-12",14,https://github.com/prabhakarlab/scConsensus,"An approach combining semi-supervised and unsupervised clustering for cell type annotation in single-cell RNA-seq data",MIT,"Classification, Differential Expression, Integration, Visualisation"
scCorr,R,"10.1101/2021.03.04.433945, 10.1186/s12864-021-08235-4","NA, 2022-01-07",3,https://github.com/CBIIT-CGBB/scCorr,"A graph-based k-partitioning approach for single-cell gene-gene correlation analysis",GPL-2.0,"Gene Networks"
scCustomize,R,,,'-,https://github.com/samuel-marsh/scCustomize,"scCustomize is a collection of functions created and/or curated to aid in the visualization and analysis of single-cell data using R",GPL-3.0,Visualisation
scDA,MATLAB/C/Python,10.1016/j.csbj.2021.05.046,2021,2,https://github.com/ZCCQQWork/scDA,"Single cell discriminant analysis (scDA) simultaneously identifies cell groups and discriminant metagenes based on the construction of cell-by-cell representation graph and then uses them to annotate unlabeled cells",'-,"Dimensionality Reduction"
scDALI,Python,"10.1101/2021.03.19.436142, 10.1186/s13059-021-02593-8","NA, 2022-01-06",10,https://github.com/PMBio/scdali,"scDALI (single-cell differential allelic imbalance) is a statistical model and analysis framework that leverages allele-specific analyses of single-cell data to decode cell-state-specific genetic regulation",BSD-3-Clause,"Alternative Splicing"
scDAPA,Shell/R,10.1093/bioinformatics/btz701,2019-09-06,22,https://sourceforge.net/projects/scdapa/,"scDAPA - a tool for detection and visualization of dynamic alternative polyadenylation from scRNA-seq dataq",GPL-1.0,"Alternative Splicing, Visualisation"
scDaPars,R,"10.1101/2020.09.23.310649, 10.1101/gr.271346.120","NA, 2021-05-25",23,https://github.com/YiPeng-Gao/scDaPars,"scDaPars is a bioinformatics algorithm to accurately quantify Alternative Polyadenylation (APA) events at both single-cell and single-gene resolution using standard scRNA-seq data",'-,"Alternative Splicing"
scDART,Python,"10.1101/2021.04.16.440230, 10.1186/s13059-022-02706-x","NA, 2022-06-27",18,https://github.com/PeterZZQ/scDART,"scDART (single cell Deep learning model for ATAC-Seq and RNA-Seq Trajectory integration) is a scalable deep learning framework that embed the two data modalities of single cells, scRNA-seq and scATAC-seq data, into a shared low-dimensional latent space while preserving cell trajectory structures",GPL-3.0,"Dimensionality Reduction, Integration, Visualisation"
scDataviz,R,,,'-,https://github.com/kevinblighe/scDataviz,"scDataviz: single cell dataviz and downstream analyses",GPL-3.0,"Clustering, Dimensionality Reduction, Gene Sets, Marker Genes, Visualisation"
scDblFinder,R,10.12688/f1000research.73600.1,2021-09-28,100,https://github.com/plger/scDblFinder,"Gathers various methods for the detection and handling of doublets/multiplets in single-cell RNA sequencing data",GPL-3.0,"Clustering, Quality Control"
scDBM,Julia,"10.1038/s41598-021-88875-4, 10.1101/2020.05.27.119594","2021-04-30, NA",6,https://github.com/MTreppner/scDBM.jl,"Synthetic Single-Cell RNA-Sequencing Data from Small Pilot Studies using Deep Generative Models",MIT,Simulation
scDC,R,,,'-,https://github.com/SydneyBioX/scDC,"scDC is a package to perform differential composition analysis on scRNA-seq data",'-,"Clustering, Visualisation"
scDCC,Python,10.1038/s41467-021-22008-3,2021-03-25,39,https://github.com/ttgump/scDCC,"Single Cell Deep Constrained Clustering",Apache-2.0,Clustering
scDD,R,"10.1101/035501, 10.1186/s13059-016-1077-y","NA, 2016-10-25",202,https://github.com/kdkorthauer/scDD,"scDD (Single-Cell Differential Distributions) is a framework to identify genes with different expression patterns between biological groups of interest. In addition to traditional differential expression, it can detect differences that are more complex and subtle than a mean shift.",GPL-2.0,"Differential Expression, Simulation"
scDDboost,R,"10.1101/655795, 10.1214/20-aoas1423","NA, 2021-06-01",5,https://github.com/wiscstatman/scDDboost,"Identifying differential distributed genes for single cell RNA data",GPL-2.0-or-later,"Differential Expression"
SCDE,R,"10.1038/nmeth.2967, 10.1038/nmeth.3734, 10.1101/026948","2014-05-18, 2016-01-18, NA",1379,https://github.com/hms-dbmi/scde,"Differential expression using error models and overdispersion-based identification of important gene sets.",'-,"Differential Expression, Gene Sets, Visualisation"
scDEA,R,10.1093/bib/bbab402,2021-09-25,9,https://github.com/Zhangxf-ccnu/scDEA,"Applies ensemble learning for single-cell differential expression analysis on single-cell RNA-seq dataset",GPL-2.0-or-later,"Differential Expression"
